Trial_number;bc_release;condition;delay;latency;result
382;792;1;187;957;1
383;1375;1;219;1486;1
384;795;1;203;1141;1
385;752;1;245;889;1
386;949;1;190;1076;1
387;544;1;164;685;1
388;708;1;223;824;1
389;643;1;234;763;1
390;676;1;209;795;1
391;601;1;154;730;1
392;744;1;206;881;1
393;667;1;144;1075;1
394;700;1;109;824;1
395;784;1;267;907;1
396;674;0;127;798;1
397;947;1;242;1084;1
398;832;0;283;949;1
399;689;1;282;804;1
400;734;1;236;851;1
401;569;0;203;693;1
402;827;1;127;998;1
403;694;1;173;861;1
404;779;1;239;896;1
405;571;0;215;690;1
406;460;1;116;586;1
407;468;1;258;750;1
408;750;1;140;909;1
409;811;1;178;943;1
410;1108;1;127;1229;1
411;821;1;107;959;1
412;606;1;114;763;1
413;741;1;172;880;1
414;765;1;255;1135;1
415;924;1;129;1039;1
416;617;1;111;1041;1
417;786;1;165;920;1
418;891;1;273;1033;1
419;849;1;160;984;1
420;741;1;177;879;1
421;882;1;251;1032;1
422;998;1;281;1115;1
423;510;0;282;640;1
424;728;1;100;851;1
425;902;1;267;1012;1
426;940;0;161;1058;1
427;700;1;196;819;1
428;549;0;129;676;1
429;495;0;158;599;1
430;414;0;258;526;1
431;476;1;283;691;1
432;586;0;126;684;1
433;653;0;264;784;1
434;635;1;209;753;1
435;675;0;188;800;1
436;977;1;148;1104;1
437;784;0;162;905;1
438;641;0;172;774;1
439;959;1;232;1070;1
440;923;1;285;1045;1
441;685;1;127;824;1
442;753;1;268;872;1
443;674;1;249;770;1
444;542;0;131;653;1
445;557;0;180;669;1
446;584;1;146;699;1
447;712;1;211;831;1
448;873;1;278;991;1
449;557;0;257;703;1
450;110;0;162;930;1
451;660;0;118;767;1
452;603;1;112;735;1
453;621;0;168;741;1
454;705;1;241;833;1
455;758;1;151;893;1
456;629;1;153;759;1
457;1046;1;178;1200;1
458;821;1;159;975;1
459;837;1;284;947;1
460;712;1;210;833;1
461;463;0;270;583;1
462;690;1;150;869;1
463;668;1;135;808;1
464;650;1;236;873;1
465;592;1;183;731;1
466;591;1;238;810;1
467;928;1;292;1058;1
468;837;1;104;967;1
469;838;1;284;975;1
470;779;0;263;912;1
471;629;1;117;741;1
472;777;1;196;908;1
473;1091;1;246;1220;1
474;1016;1;147;1161;1
475;949;1;285;1101;1
476;744;1;245;864;1
477;635;1;227;772;1
478;642;0;238;773;1
479;611;1;152;973;1
480;695;1;225;834;1
481;564;1;166;705;1
482;576;0;102;687;1
483;735;1;235;883;1
484;750;1;247;904;1
485;676;1;206;837;1
486;973;0;132;1355;1
487;675;0;170;823;1
488;783;1;288;922;1
489;645;1;145;783;1
490;664;1;188;813;1
491;605;0;177;731;1
492;661;1;132;780;1
493;662;1;121;794;1
494;880;1;213;1040;1
495;744;1;206;881;1
496;678;1;124;820;1
497;603;1;141;736;1
498;639;1;173;786;1
499;727;0;122;873;1
500;1102;1;298;1273;1
