Trial_number;bc_release;condition(1 = change);delay;latency;result(1 = success, 2 = missed)
481;671;1;166;763;1
482;635;0;102;728;1
483;965;1;235;1064;1
484;1106;1;247;1248;1
485;1151;1;206;1275;1
486;645;0;132;788;1
487;571;0;170;682;1
488;731;1;288;860;1
489;638;1;145;731;1
490;583;1;188;697;1
491;596;0;177;709;1
492;716;1;132;1034;1
493;657;1;121;1438;1
494;537;1;213;907;1
495;212;1;206;1133;1
496;741;1;124;863;1
497;594;1;141;722;1
498;574;1;173;691;1
499;638;0;122;764;1
500;733;1;298;853;1
